id;title;description;display_start_date;display_end_date;added_by;created_by;created_date;last_modified_by;last_modified_date;deleted_on
1;decisive exterior athwart;decouple;2025-05-31;2025-05-31;ah hovel;pish;2025-06-01T08:21:05;meh nor although;2025-06-01T06:45:43;2025-06-01T08:40:50
2;husky cautiously besides;complication;2025-05-31;2025-05-31;upon yet;who however;2025-05-31T10:40:43;character;2025-05-31T22:59:37;2025-06-01T08:14:49
3;often;meaty political;2025-06-01;2025-05-31;memorable;consequently redound;2025-05-31T19:36:46;zowie chow;2025-06-01T03:22:43;2025-06-01T00:00:04
4;formation out eek;yowza;2025-06-01;2025-05-31;enfold;sparkling equatorial soft;2025-05-31T23:59:54;pricey;2025-06-01T06:23:20;2025-06-01T05:48:06
5;qualified;mosh;2025-06-01;2025-05-31;likewise;jittery supposing;2025-05-31T14:08:53;husband along;2025-05-31T21:14:14;2025-06-01T01:39:50
6;politely so furthermore;per meaty;2025-05-31;2025-05-31;whimsical shrill judgementally;on colligate;2025-06-01T00:04:31;baptise only;2025-05-31T15:20:02;2025-06-01T03:28:08
7;before obtrude yum;foodstuffs consequently deceivingly;2025-06-01;2025-05-31;platypus;past save brand;2025-05-31T19:41:22;mask contrast;2025-05-31T13:14:03;2025-06-01T07:44:07
8;unwilling below cleverly;merge;2025-06-01;2025-05-31;large eek;numeric super marten;2025-06-01T03:25:50;cautious mortise wee;2025-06-01T08:09:24;2025-06-01T04:34:03
9;than successfully;culture shanghai;2025-05-31;2025-06-01;jeopardise flight;almighty since tuba;2025-06-01T06:31:07;odd scornful curse;2025-05-31T10:03:05;2025-06-01T05:43:59
10;handle formula;lamp smarten;2025-05-31;2025-06-01;urgently but above;deprave under ouch;2025-05-31T10:50:02;instead witty knavishly;2025-05-31T21:07:59;2025-06-01T03:32:03
